3965-34:34 3965 DynamicPoint org.apache.hadoop.hdfs.server.namenode.NameNode blockReport 986 3443 1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
4102-31:31 4102 DynamicPoint org.apache.hadoop.hdfs.server.datanode.FSDataset$FSDir getBlockInfo 227 227 -1 
